Stanum,Lat,Lon,Rain
58556,2936,1.57,18.36
58557,2920,1.28,10.64
58562,2948,5.87,189.91
58569,2912,0.75,10.46
58600,2851,0.06,0.09
58606,2835,0.0,0.0
58608,2759,0.08,0.17
58622,2857,0.2,1.24
58626,2819,0.55,4.91
58634,2841,1.11,23.21
58637,2827,0.3,1.21
58646,2828,1.66,29.98
58652,2852,4.9,206.69
58665,2837,2.04,58.31
58666,2827,1.31,33.3
58667,2805,0.5,2.24
58705,2720,2.22,50.94
58715,2735,0.68,10.89
58718,2713,0.32,1.9
58725,2720,1.93,40.16
58730,2746,3.67,134.88
58731,2755,1.04,9.75
58734,2720,0.69,6.84
58737,2703,3.3,86.19
58742,2806,3.01,196.91
58744,2727,7.66,259.51
58752,2747,5.13,266.68
58754,2720,2.88,110.68
58806,2629,0.32,1.39
58813,2650,0.68,4.17
58818,2614,1.79,62.69
58820,2654,0.51,1.23
58837,2609,3.47,65.47
58843,2653,0.84,9.84
58846,2640,0.82,3.51
58847,2605,1.34,32.08
58911,2551,2.54,41.24
58918,2503,1.78,43.57
58926,2518,1.28,29.87
58927,2503,1.12,4.17
58931,2543,3.13,55.92
58944,2531,0.13,0.52
59007,2403,4.32,66.93
59021,2433,3.01,39.34
59023,2442,3.75,91.73
59037,2356,3.56,36.66
59046,2422,2.78,105.8
59058,2412,7.14,294.95
59065,2425,2.0,20.9
59072,2449,2.18,13.8
59082,2440,3.06,49.45
59087,2353,4.73,43.68
59088,2411,4.59,87.61
59092,2452,1.45,10.36
59096,2423,2.89,17.37
59097,2402,4.71,58.7
59102,2457,2.95,54.33
59107,2407,6.02,68.5
59113,2444,4.23,80.87
59116,2421,3.51,40.16
59117,2417,2.8,52.65
59133,2454,0.14,0.17
59134,2429,2.21,29.94
59209,2325,7.07,155.45
59211,2354,2.2,17.98
59218,2306,5.27,63.42
59228,2317,3.72,92.09
59242,2346,3.07,35.86
59265,2329,2.94,21.54
59271,2338,6.13,73.39
59278,2259,7.6,105.05
59280,2343,8.99,251.21
59287,2313,6.76,126.55
59289,2258,10.13,301.53
59293,2348,4.36,53.87
59294,2320,7.56,109.12
59298,2304,9.57,183.29
59303,2355,5.15,69.18
59304,2338,6.21,73.66
59306,2327,17.33,783.4
59316,2323,7.88,292.59
59317,2259,9.87,202.19
59324,2326,4.91,96.66
59431,2247,2.97,22.6
59446,2225,5.16,71.71
59456,2221,11.76,260.44
59462,2243,5.2,63.84
59478,2215,16.53,638.86
59485,2230,12.42,314.32
59488,2217,12.89,426.54
59493,2233,17.09,658.07
59501,2248,13.5,596.9
59632,2159,13.68,441.7
59644,2127,14.54,342.81
59658,2109,9.59,265.63
59663,2151,23.12,1196.41
59664,2133,9.91,348.63
59673,2144,25.66,1075.24
59754,2015,10.83,940.33
59758,2000,9.48,868.03
59838,1906,9.78,1059.13
59845,1931,10.02,267.3
59849,1902,12.27,420.34
59855,1913,7.35,202.66
